N-gram-feat-comb,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
my-[1]-char+[0]-word+[1]-func,394,binary,LogisticRegression,0.71,0.7,0.84,0.62,0.8,0.79,0.86,0.75,0.84
my-[1]-char+[0]-word+[2]-func,3304,binary,LogisticRegression,0.69,0.67,0.8,0.59,0.78,0.76,0.84,0.7,0.83
my-[1]-char+[0]-word+[3]-func,3891,binary,LogisticRegression,0.7,0.68,0.81,0.59,0.74,0.72,0.85,0.65,0.8
my-[1]-char+[0]-word+[4]-func,1121,binary,LogisticRegression,0.68,0.66,0.8,0.54,0.76,0.73,0.85,0.67,0.81
my-[1]-char+[0]-word+[5]-func,237,binary,LogisticRegression,0.67,0.65,0.79,0.53,0.75,0.73,0.85,0.66,0.8
my-[1]-char+[0]-word+[6]-func,119,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
my-[0]-char+[1]-word+[1]-func,4313,binary,LogisticRegression,0.66,0.65,0.73,0.59,0.72,0.7,0.77,0.62,0.78
my-[0]-char+[1]-word+[2]-func,7223,binary,LogisticRegression,0.65,0.64,0.71,0.58,0.71,0.68,0.78,0.57,0.79
my-[0]-char+[1]-word+[3]-func,7810,binary,LogisticRegression,0.66,0.65,0.72,0.58,0.72,0.69,0.79,0.58,0.79
my-[0]-char+[1]-word+[4]-func,5040,binary,LogisticRegression,0.66,0.65,0.73,0.58,0.73,0.7,0.79,0.61,0.79
my-[0]-char+[1]-word+[5]-func,4156,binary,LogisticRegression,0.65,0.64,0.73,0.57,0.74,0.71,0.79,0.62,0.8
my-[0]-char+[1]-word+[6]-func,4038,binary,LogisticRegression,0.65,0.64,0.73,0.57,0.74,0.71,0.79,0.63,0.8
