N-gram-feat-comb,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
2-0-0 char-word-func,1555,relat,LinearSVC,0.55,0.51,0.68,0.03,0.57,0.5,0.0,0.0,0.73
2-0-0 char-word-func,1555,relat,SVC,0.55,0.5,0.67,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,101,binary,LogisticRegression,0.66,0.64,0.79,0.52,0.75,0.72,0.85,0.65,0.8
1-0-0 char-word-func,101,binary,LinearSVC,0.73,0.73,0.81,0.72,0.8,0.79,0.0,0.76,0.83
1-0-0 char-word-func,101,binary,SVC,0.67,0.64,0.79,0.46,0.77,0.75,0.0,0.68,0.82
1-0-0 char-word-func,101,binary,DecisionTreeClassifier,0.72,0.72,0.72,0.68,0.77,0.76,0.78,0.72,0.8
1-0-0 char-word-func,101,binary,RandomForestClassifier,0.65,0.61,0.8,0.32,0.72,0.68,0.89,0.52,0.8
1-0-0 char-word-func,101,binary,MultinomialNB,0.64,0.66,0.77,0.7,0.66,0.69,0.82,0.69,0.63
1-0-0 char-word-func,101,binary,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,101,binary,AdaBoostClassifier,0.7,0.69,0.76,0.67,0.78,0.77,0.9,0.73,0.82
2-0-0 char-word-func,1555,binary,LogisticRegression,0.79,0.79,0.89,0.78,0.85,0.84,0.94,0.81,0.88
2-0-0 char-word-func,1555,binary,LinearSVC,0.8,0.8,0.9,0.79,0.84,0.83,0.0,0.8,0.87
2-0-0 char-word-func,1555,binary,SVC,0.8,0.81,0.9,0.8,0.85,0.84,0.0,0.81,0.88
2-0-0 char-word-func,1555,binary,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.81,0.79,0.79,0.76,0.84
2-0-0 char-word-func,1555,binary,RandomForestClassifier,0.66,0.63,0.89,0.34,0.74,0.7,0.94,0.56,0.82
2-0-0 char-word-func,1555,binary,MultinomialNB,0.72,0.73,0.85,0.73,0.81,0.81,0.92,0.79,0.82
2-0-0 char-word-func,1555,binary,BernoulliNB,0.69,0.71,0.81,0.71,0.74,0.75,0.88,0.73,0.75
2-0-0 char-word-func,1555,binary,AdaBoostClassifier,0.81,0.8,0.87,0.79,0.84,0.82,0.92,0.8,0.86
3-0-0 char-word-func,7927,binary,LogisticRegression,0.68,0.68,0.81,0.64,0.82,0.8,0.9,0.77,0.85
3-0-0 char-word-func,7927,binary,LinearSVC,0.72,0.73,0.81,0.71,0.81,0.8,0.0,0.76,0.83
3-0-0 char-word-func,7927,binary,SVC,0.73,0.73,0.82,0.71,0.81,0.79,0.0,0.76,0.84
3-0-0 char-word-func,7927,binary,DecisionTreeClassifier,0.74,0.74,0.74,0.72,0.81,0.81,0.81,0.78,0.84
3-0-0 char-word-func,7927,binary,RandomForestClassifier,0.59,0.55,0.82,0.18,0.7,0.65,0.93,0.47,0.79
3-0-0 char-word-func,7927,binary,MultinomialNB,0.68,0.69,0.83,0.7,0.82,0.83,0.92,0.81,0.84
3-0-0 char-word-func,7927,binary,BernoulliNB,0.64,0.65,0.7,0.68,0.69,0.72,0.82,0.71,0.68
3-0-0 char-word-func,7927,binary,AdaBoostClassifier,0.77,0.76,0.84,0.73,0.83,0.82,0.9,0.78,0.86
4-0-0 char-word-func,20681,binary,LogisticRegression,0.66,0.65,0.75,0.6,0.79,0.76,0.85,0.71,0.83
4-0-0 char-word-func,20681,binary,LinearSVC,0.65,0.65,0.75,0.63,0.78,0.77,0.0,0.72,0.82
4-0-0 char-word-func,20681,binary,SVC,0.67,0.67,0.76,0.64,0.76,0.74,0.0,0.68,0.8
4-0-0 char-word-func,20681,binary,DecisionTreeClassifier,0.63,0.63,0.63,0.58,0.65,0.64,0.64,0.59,0.7
4-0-0 char-word-func,20681,binary,RandomForestClassifier,0.56,0.51,0.74,0.06,0.59,0.52,0.88,0.07,0.74
4-0-0 char-word-func,20681,binary,MultinomialNB,0.64,0.64,0.71,0.65,0.78,0.79,0.87,0.76,0.79
4-0-0 char-word-func,20681,binary,BernoulliNB,0.58,0.59,0.63,0.63,0.63,0.66,0.74,0.65,0.61
4-0-0 char-word-func,20681,binary,AdaBoostClassifier,0.71,0.7,0.76,0.66,0.71,0.69,0.78,0.61,0.77
5-0-0 char-word-func,31926,binary,LogisticRegression,0.64,0.64,0.72,0.59,0.75,0.72,0.83,0.64,0.81
5-0-0 char-word-func,31926,binary,LinearSVC,0.64,0.64,0.74,0.61,0.76,0.74,0.0,0.69,0.8
5-0-0 char-word-func,31926,binary,SVC,0.66,0.66,0.73,0.62,0.74,0.72,0.0,0.65,0.79
5-0-0 char-word-func,31926,binary,DecisionTreeClassifier,0.58,0.58,0.58,0.54,0.64,0.64,0.64,0.6,0.68
5-0-0 char-word-func,31926,binary,RandomForestClassifier,0.57,0.52,0.7,0.07,0.58,0.51,0.77,0.05,0.73
5-0-0 char-word-func,31926,binary,MultinomialNB,0.59,0.6,0.65,0.62,0.74,0.74,0.82,0.71,0.77
5-0-0 char-word-func,31926,binary,BernoulliNB,0.54,0.56,0.6,0.6,0.62,0.65,0.71,0.65,0.59
5-0-0 char-word-func,31926,binary,AdaBoostClassifier,0.68,0.68,0.74,0.65,0.7,0.69,0.77,0.65,0.74
6-0-0 char-word-func,37105,binary,LogisticRegression,0.63,0.63,0.7,0.58,0.74,0.71,0.81,0.63,0.8
6-0-0 char-word-func,37105,binary,LinearSVC,0.63,0.63,0.71,0.61,0.74,0.72,0.0,0.66,0.79
6-0-0 char-word-func,37105,binary,SVC,0.63,0.63,0.71,0.59,0.73,0.71,0.0,0.64,0.78
6-0-0 char-word-func,37105,binary,DecisionTreeClassifier,0.58,0.58,0.58,0.54,0.64,0.64,0.64,0.59,0.68
6-0-0 char-word-func,37105,binary,RandomForestClassifier,0.56,0.51,0.69,0.05,0.6,0.53,0.74,0.1,0.74
6-0-0 char-word-func,37105,binary,MultinomialNB,0.55,0.57,0.63,0.59,0.75,0.75,0.8,0.71,0.78
6-0-0 char-word-func,37105,binary,BernoulliNB,0.53,0.55,0.59,0.61,0.62,0.64,0.7,0.65,0.59
6-0-0 char-word-func,37105,binary,AdaBoostClassifier,0.66,0.66,0.72,0.62,0.68,0.66,0.74,0.6,0.73
0-1-0 char-word-func,4020,binary,LogisticRegression,0.65,0.64,0.73,0.57,0.74,0.72,0.79,0.63,0.8
0-1-0 char-word-func,4020,binary,LinearSVC,0.66,0.66,0.74,0.64,0.73,0.71,0.0,0.65,0.78
